epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,2343.78,0.65726,1.58811,0.88979,0.95161,0,0.64375,0.31076,0.33049,0.2246,0.62477,0.34524,0.30284,0.10884,1.33166,5.20679,3.0594,1.57372,0,0.0006106,0.0006106,0.0006106
61,2378.59,0.67619,1.56043,0.89023,0.96599,0,0.64375,0.31076,0.33049,0.2246,0.62477,0.34524,0.30284,0.10884,1.33166,5.20679,3.0594,1.57372,0,0.000604,0.000604,0.000604
62,2414.82,0.72408,1.67989,0.90954,0.96927,0,0.51147,0.31625,0.32493,0.23681,0.55331,0.26501,0.26557,0.10066,1.38502,5.2715,2.99439,1.54747,0,0.0005974,0.0005974,0.0005974
63,2448.48,0.66589,1.45381,0.77669,0.94901,0,0.51147,0.31625,0.32493,0.23681,0.55331,0.26501,0.26557,0.10066,1.38502,5.2715,2.99439,1.54747,0,0.0005908,0.0005908,0.0005908
64,2482.87,0.73611,1.61777,0.85672,1.01911,0,0.51147,0.31625,0.32493,0.23681,0.55331,0.26501,0.26557,0.10066,1.38502,5.2715,2.99439,1.54747,0,0.0005842,0.0005842,0.0005842
65,2518.18,0.66897,1.42132,0.77147,0.95066,0,0.51147,0.31625,0.32493,0.23681,0.55331,0.26501,0.26557,0.10066,1.38502,5.2715,2.99439,1.54747,0,0.0005776,0.0005776,0.0005776
66,2556.56,0.68588,1.46822,0.82255,0.96007,0,0.28881,0.33268,0.30845,0.21633,0.67668,0.2619,0.30202,0.11891,1.42834,4.36945,3.28782,1.57305,0,0.000571,0.000571,0.000571
67,2592.22,0.65651,1.41199,0.75715,0.95429,0,0.28881,0.33268,0.30845,0.21633,0.67668,0.2619,0.30202,0.11891,1.42834,4.36945,3.28782,1.57305,0,0.0005644,0.0005644,0.0005644
68,2629.82,0.62214,1.46981,0.80078,0.94313,0,0.28881,0.33268,0.30845,0.21633,0.67668,0.2619,0.30202,0.11891,1.42834,4.36945,3.28782,1.57305,0,0.0005578,0.0005578,0.0005578
69,2665.18,0.66465,1.4141,0.7743,0.96895,0,0.28881,0.33268,0.30845,0.21633,0.67668,0.2619,0.30202,0.11891,1.42834,4.36945,3.28782,1.57305,0,0.0005512,0.0005512,0.0005512
70,2699.17,0.64462,1.4112,0.73941,0.93619,0,0.591,0.39131,0.47762,0.2854,0.591,0.39131,0.43707,0.20067,1.30869,4.02561,3.09627,1.45151,0,0.0005446,0.0005446,0.0005446
71,2734.39,0.62682,1.44351,0.74285,0.96257,0,0.591,0.39131,0.47762,0.2854,0.591,0.39131,0.43707,0.20067,1.30869,4.02561,3.09627,1.45151,0,0.000538,0.000538,0.000538
72,2765.4,0.59884,1.37004,0.76282,0.92673,0,0.591,0.39131,0.47762,0.2854,0.591,0.39131,0.43707,0.20067,1.30869,4.02561,3.09627,1.45151,0,0.0005314,0.0005314,0.0005314
73,2802.59,0.63218,1.4101,0.73052,0.94042,0,0.591,0.39131,0.47762,0.2854,0.591,0.39131,0.43707,0.20067,1.30869,4.02561,3.09627,1.45151,0,0.0005248,0.0005248,0.0005248
74,2835.29,0.63009,1.41086,0.76382,0.92957,0,0.66408,0.37849,0.47963,0.31835,0.66408,0.37849,0.42227,0.18949,1.27155,4.12814,3.04476,1.44925,0,0.0005182,0.0005182,0.0005182
75,2870.26,0.60035,1.27322,0.67106,0.92737,0,0.66408,0.37849,0.47963,0.31835,0.66408,0.37849,0.42227,0.18949,1.27155,4.12814,3.04476,1.44925,0,0.0005116,0.0005116,0.0005116
76,2906.06,0.56731,1.25798,0.65061,0.88682,0,0.66408,0.37849,0.47963,0.31835,0.66408,0.37849,0.42227,0.18949,1.27155,4.12814,3.04476,1.44925,0,0.000505,0.000505,0.000505
77,2940.74,0.63132,1.43725,0.75161,0.99778,0,0.66408,0.37849,0.47963,0.31835,0.66408,0.37849,0.42227,0.18949,1.27155,4.12814,3.04476,1.44925,0,0.0004984,0.0004984,0.0004984
78,2976.81,0.60319,1.29335,0.6766,0.91677,0,0.65339,0.43241,0.48025,0.32122,0.79434,0.34791,0.43082,0.20214,1.21723,4.08055,2.84348,1.44836,0,0.0004918,0.0004918,0.0004918
79,3014.83,0.56571,1.18852,0.57888,0.91623,0,0.65339,0.43241,0.48025,0.32122,0.79434,0.34791,0.43082,0.20214,1.21723,4.08055,2.84348,1.44836,0,0.0004852,0.0004852,0.0004852
80,3051.06,0.60604,1.35376,0.66066,0.93025,0,0.65339,0.43241,0.48025,0.32122,0.79434,0.34791,0.43082,0.20214,1.21723,4.08055,2.84348,1.44836,0,0.0004786,0.0004786,0.0004786
81,3088.74,0.5369,1.21175,0.61404,0.89554,0,0.65339,0.43241,0.48025,0.32122,0.79434,0.34791,0.43082,0.20214,1.21723,4.08055,2.84348,1.44836,0,0.000472,0.000472,0.000472
82,3129.59,0.57898,1.22092,0.64719,0.93399,0,0.65171,0.43318,0.52221,0.38589,0.65171,0.43318,0.44322,0.22291,1.25565,4.03371,3.06877,1.44475,0,0.0004654,0.0004654,0.0004654
83,3167.5,0.58571,1.19852,0.63091,0.91578,0,0.65171,0.43318,0.52221,0.38589,0.65171,0.43318,0.44322,0.22291,1.25565,4.03371,3.06877,1.44475,0,0.0004588,0.0004588,0.0004588
84,3202.49,0.59085,1.27631,0.66974,0.93404,0,0.65171,0.43318,0.52221,0.38589,0.65171,0.43318,0.44322,0.22291,1.25565,4.03371,3.06877,1.44475,0,0.0004522,0.0004522,0.0004522
85,3240.38,0.58721,1.21642,0.61968,0.92117,0,0.65171,0.43318,0.52221,0.38589,0.65171,0.43318,0.44322,0.22291,1.25565,4.03371,3.06877,1.44475,0,0.0004456,0.0004456,0.0004456
86,3276.88,0.56391,1.25192,0.6072,0.89165,0,0.58211,0.44858,0.4952,0.36031,0.60813,0.42857,0.44115,0.19776,1.29145,4.14691,3.1132,1.50128,0,0.000439,0.000439,0.000439
